epoch,samples,train_loss,validation_loss,CER,WER,character_accuracy,word_accuracy,blank_percentage,unique_predicted_characters,unique_predicted_sequences,average_prediction_length,learning_rate,training_time
12,126419,1.2465982305131602,2.006186133573863,0.569785524913866,0.9892222797033972,0.430214475086134,0.010777720296602844,93.52877654215024,55,6563,4.747801345059493,0.0003,1110.45578622818
13,126419,1.2199229394988271,1.9954077908487031,0.5512525225016853,0.990256940851871,0.4487474774983147,0.009743059148129007,92.81227842668956,53,7392,5.249956889118813,0.0003,1096.494956254959
14,126419,1.1952168012202404,1.9719845627950243,0.545714417289973,0.98930850146577,0.45428558271002695,0.010691498534230015,92.80329887673993,57,7396,5.284790481117434,0.0003,1185.8211903572083
15,126419,1.1735702495549607,1.9542056036389563,0.5359491541126384,0.9889636144162787,0.46405084588736156,0.011036385583721331,92.54895603985521,57,7693,5.457492671150198,0.0003,1104.245092868805
16,126419,1.1531020971950896,1.9440660043196245,0.5202745750753942,0.9920675978617003,0.4797254249246058,0.00793240213829971,92.21379725342389,55,7416,5.7208139334368,0.0003,1091.5316288471222
17,126419,1.1339015853432153,1.9390772866808679,0.5322139246255387,0.9813760993274703,0.46778607537446126,0.018623900672529725,92.42825689442849,57,8125,5.559234350750129,0.0003,1156.7067468166351
18,126419,1.1138673549330829,1.9214733353002669,0.530028225201139,0.9865494050698397,0.469971774798861,0.01345059493016032,92.59327070194425,54,7552,5.402052077944473,0.0003,1125.0069723129272
19,126419,1.0987037437319966,1.919277616768829,0.547438367149389,0.977582341783066,0.452561632850611,0.022417658216933978,93.16539631302011,55,7491,5.016037247801345,0.0003,1115.7359647750854
20,126419,1.0793677806793904,1.8914202803094196,0.5307464139143977,0.9787894464562855,0.4692535860856023,0.021210553543714483,92.73939246930627,58,7784,5.331608898085877,0.0003,1104.393663406372
21,126419,1.0541408119458724,1.8791094584898516,0.515523970343222,0.9812898775650974,0.48447602965677805,0.018710122434902554,92.30849068925626,57,8105,5.651836523538541,0.0003,1262.7725095748901
22,126419,1.0307262182175374,1.8786101140923408,0.5097078693755338,0.9838765304362821,0.4902921306244662,0.016123469563717907,92.07432268537524,59,8074,5.820055181927919,0.0003,1085.6481103897095
23,126419,1.0075619325505665,1.86078328140511,0.5112745949680656,0.9754267977237455,0.4887254050319344,0.02457320227625448,92.09228178527447,56,8598,5.784014485256079,0.0003,1093.456607580185
24,126419,0.9834051729908052,1.8593716601694912,0.5161456478147903,0.9750819106742542,0.48385435218520967,0.024918089325745796,92.40166809717506,59,8446,5.570701845145715,0.0003,1185.8416731357574
25,126419,0.959747252027405,1.853299970469199,0.5077599654877146,0.9754267977237455,0.4922400345122854,0.02457320227625448,92.16458465499869,56,8598,5.73150543197103,0.0003,1169.079614162445
26,126419,0.9367600771723684,1.831782310462195,0.4926105881202772,0.9760303500603552,0.5073894118797229,0.023969649939644788,91.54592864872933,56,8901,6.161062252112433,0.0003,1115.2580246925354
27,126419,0.9093659625524692,1.8455729047785778,0.4913375101777775,0.9731850319020521,0.5086624898222225,0.026814968097947922,90.9301880807553,57,9614,6.570960510432833,0.0003,1076.762122631073
28,126419,0.8860028116454417,1.8131041792798634,0.48531224488032443,0.9729263666149336,0.5146877551196756,0.02707363338506641,91.26243142889129,57,9165,6.3438523883428175,0.0003,1148.364087343216
29,126419,0.8605889583186118,1.8202743152613154,0.4829185220264149,0.9699948266942576,0.5170814779735851,0.030005173305742372,91.01415270366086,57,9467,6.507242628039317,0.0003,1143.7277171611786
30,126419,0.8359192225924627,1.8178831141842298,0.4836059244863074,0.9655975168132437,0.5163940755136927,0.034402483186756316,90.95479437996791,55,9567,6.5152612519399895,0.0003,1110.1362600326538
31,126419,0.8115145163848653,1.8102366602453648,0.4708226800011431,0.9690463873081566,0.529177319998857,0.03095361269184338,90.44261018024406,55,9743,6.87049491291602,0.0003,1092.1727392673492
32,126419,0.7886840590673952,1.8068722089131672,0.47363828676512665,0.9641317468529057,0.5263617132348734,0.0358682531470943,90.02721853192521,58,10006,7.095102603897224,0.0003,1370.411054611206
33,126419,0.7651065850116066,1.7881683347638972,0.471080536733504,0.9596482152095189,0.528919463266496,0.04035178479048107,90.30453502257716,56,9979,6.927056389032592,0.0003,1153.552092075348
34,126419,0.7420262189507032,1.7836208983886341,0.4672963317352602,0.956199344714606,0.5327036682647398,0.04380065528539401,90.48739131246035,57,9907,6.789705121572685,0.0003,1107.307636976242
