============================================================
HARDWARE DETECTED
Device: cuda
GPU: NVIDIA GeForce RTX 4060 Laptop GPU
PyTorch version: 2.6.0+cu126
============================================================

Found existing training_state.json in outputs\training\tamil\exp_A2_resolution. Loading state...
Auto-resuming weights from checkpoints\recognition\tamil\exp_A2_resolution\latest.pth...

============================================================
Epoch 42/81 | Global Shuffling Experiment
============================================================
[TRAIN] Loaded 17 packets containing 126419 total samples.
[VALIDATION] Loaded 3 packets containing 11598 total samples.
Total Packets: 17
Total Training Samples: 126419
Batch Size: 32
Number of Batches: 3951
Shuffle: True
Experiment Name: exp_A2_resolution
============================================================


Verifying model forward/backward pass...
============================================================
VERIFYING ONE BATCH BEFORE TRAINING
============================================================
Images shape: torch.Size([32, 1, 32, 219])
Targets shape: torch.Size([216])
Target lengths shape: torch.Size([32])
Actual widths shape: torch.Size([32])
Number of unique packets in this batch: 14
Outputs shape: torch.Size([32, 54, 78])
CTC Loss: 0.5359
First label decoded: 'தீ'
Verification PASSED. Starting training loop...

Verification successful. Starting training...

  Batch 1561/3951 | Loss: 0.7670 | Samples: 49952 | Time: 1190.8s | Speed: 41.9 samples/s
  Batch 1571/3951 | Loss: 0.5578 | Samples: 50272 | Time: 1196.2s | Speed: 42.0 samples/s
  Batch 1581/3951 | Loss: 0.5517 | Samples: 50592 | Time: 1201.6s | Speed: 42.1 samples/s
  Batch 1591/3951 | Loss: 0.4603 | Samples: 50912 | Time: 1208.0s | Speed: 42.1 samples/s
  Batch 1601/3951 | Loss: 0.5864 | Samples: 51232 | Time: 1213.7s | Speed: 42.2 samples/s
  Batch 1611/3951 | Loss: 0.5112 | Samples: 51552 | Time: 1219.1s | Speed: 42.3 samples/s
  Batch 1621/3951 | Loss: 0.4248 | Samples: 51872 | Time: 1224.7s | Speed: 42.4 samples/s
  Batch 1631/3951 | Loss: 0.5085 | Samples: 52192 | Time: 1230.6s | Speed: 42.4 samples/s
  Batch 1641/3951 | Loss: 0.4327 | Samples: 52512 | Time: 1236.2s | Speed: 42.5 samples/s
  Batch 1651/3951 | Loss: 0.5244 | Samples: 52832 | Time: 1240.5s | Speed: 42.6 samples/s
  Batch 1661/3951 | Loss: 0.6342 | Samples: 53152 | Time: 1246.3s | Speed: 42.6 samples/s
  Batch 1671/3951 | Loss: 0.7664 | Samples: 53472 | Time: 1251.9s | Speed: 42.7 samples/s
  Batch 1681/3951 | Loss: 0.6798 | Samples: 53792 | Time: 1257.0s | Speed: 42.8 samples/s
  Batch 1691/3951 | Loss: 0.6770 | Samples: 54112 | Time: 1263.1s | Speed: 42.8 samples/s
  Batch 1701/3951 | Loss: 0.6633 | Samples: 54432 | Time: 1268.9s | Speed: 42.9 samples/s
  Batch 1711/3951 | Loss: 0.5931 | Samples: 54752 | Time: 1274.6s | Speed: 43.0 samples/s
  Batch 1721/3951 | Loss: 0.5160 | Samples: 55072 | Time: 1282.7s | Speed: 42.9 samples/s
  Batch 1731/3951 | Loss: 0.6755 | Samples: 55392 | Time: 1293.2s | Speed: 42.8 samples/s
  Batch 1741/3951 | Loss: 0.7122 | Samples: 55712 | Time: 1305.5s | Speed: 42.7 samples/s
  Batch 1751/3951 | Loss: 0.5985 | Samples: 56032 | Time: 1316.4s | Speed: 42.6 samples/s
  Batch 1761/3951 | Loss: 0.7382 | Samples: 56352 | Time: 1326.9s | Speed: 42.5 samples/s
  Batch 1771/3951 | Loss: 0.4469 | Samples: 56672 | Time: 1337.6s | Speed: 42.4 samples/s
  Batch 1781/3951 | Loss: 0.5480 | Samples: 56992 | Time: 1348.3s | Speed: 42.3 samples/s
  Batch 1791/3951 | Loss: 0.4716 | Samples: 57312 | Time: 1359.0s | Speed: 42.2 samples/s
  Batch 1801/3951 | Loss: 0.4914 | Samples: 57632 | Time: 1369.5s | Speed: 42.1 samples/s
  Batch 1811/3951 | Loss: 0.6081 | Samples: 57952 | Time: 1380.8s | Speed: 42.0 samples/s
  Batch 1821/3951 | Loss: 0.5727 | Samples: 58272 | Time: 1391.0s | Speed: 41.9 samples/s
  Batch 1831/3951 | Loss: 0.6034 | Samples: 58592 | Time: 1401.2s | Speed: 41.8 samples/s
